incident_address,longitude,latitude,incident_count
1 PEROT STREET,-73.89966584862809,40.87668048066158,1
1 PROSPECT PARK WEST,-73.97056552165694,40.672360988595656,3
1 SICKLES STREET,-73.92699578722419,40.860276743750255,1
1 SOUTH    1 STREET,-73.96626803530394,40.71587262425871,1
1 SOUTH ELLIOTT PLACE,-73.97601732162852,40.689341420073866,1
1 SPENCER PLACE,-73.95457829262003,40.68183349408198,7
1 STEPHENS COURT,-73.95560586525319,40.63848558484661,1
1 TENNIS COURT,-73.96273450648725,40.6484269830594,1
1 TENNIS PLACE,-73.84663871262093,40.7190060049748,25
1 UNIVERSITY PLACE,-73.99548624427106,40.73078425761405,6
1 UPTON STREET,-74.09570794452951,40.60195680755557,1
1 VERNON AVENUE,-73.9518507458325,40.69432932686339,1
1 WARDS ISLAND,-73.93165573710645,40.78637259802437,1
1 WEST  100 STREET,-73.96297066893682,40.79429997446066,1
1 WEST  111 STREET,-73.94925137823532,40.79768723570536,1
1 WEST  129 STREET,-73.94050444696772,40.80901053750968,1
1 WEST  182 STREET,-73.9047701027982,40.857134491147434,33
1 WEST FARMS SQUARE PLAZA,-73.88110688616136,40.841094255624334,2
1-10 ASTORIA BOULEVARD,-73.93649935761817,40.773867605943714,1
1-25 ASTORIA BOULEVARD,-73.93639466501253,40.7738565692454,4
1-50 50 AVENUE,-73.95887755839249,40.74364166035954,9
1-55 BORDEN AVENUE,-73.95935835443481,40.74229141366696,2
10 ADRIAN AVENUE,-73.91223601770442,40.87605670058564,1
10 ALPINE AVENUE,-74.09842645207195,40.616364693678186,2
10 AMBOY STREET,-73.9148210968993,40.67028561802885,16
10 AVENUE,-74.00774105376817,40.68749473221217,2
10 CATHERINE SLIP,-73.99642547704416,40.70986648236649,10
10 CATHERINE STREET,-73.9973667517968,40.71362683187197,1
10 CHATHAM STREET,-74.1813269952983,40.56271265402293,1
10 CITY POINT,-73.98225132135923,40.69144229924395,1
10 COOPER STREET,-73.92497057077334,40.86733755367586,1
10 CORNELIA STREET,-73.91793226028697,40.68771719899655,1
10 EAST    8 STREET,-73.99581089742422,40.73201666481605,4
10 EAST   14 STREET,-73.99302498801782,40.735749395109465,1
10 EAST   91 STREET,-73.93025722620868,40.66322271721818,1
10 EAST  108 STREET,-73.94966125909454,40.795368119507984,2
10 EAST  132 STREET,-73.93845837030858,40.81061238186387,1
10 FAIRVIEW AVENUE,-73.9285571243435,40.85728874192422,2
10 GOODWIN PLACE,-73.92441430955273,40.69192113864761,1
10 HANOVER SQUARE,-74.00922950977888,40.70432723447391,2
10 HAVEMEYER STREET,-73.95301450423615,40.71625498933511,18
10 KIMBERLY LANE,-74.07550523728877,40.617691301103896,1
10 LAKEWOOD ROAD,-74.1007999335108,40.62816250199935,1
10 LEWIS AVENUE,-73.93808984897387,40.69804465289637,2
10 LEXINGTON AVENUE,-73.9615738559906,40.68643902566585,1
10 LYMAN PLACE,-74.09510727109755,40.604990308060025,1
10 MONTIETH STREET,-73.9364962950905,40.70135671863178,7
10 PALADINO AVENUE,-73.9315653574528,40.80052437542785,2
10 PARK TERRACE EAST,-73.91763522867942,40.86980003289865,5
10 PELL STREET,-73.99759757194532,40.71473572046608,1
10 PENNYFIELD AVENUE,-73.80217204054776,40.80920473801977,1
10 PROSPECT PLACE,-73.97724287502146,40.68007806445232,1
10 RICHMAN PLAZA,-73.92295539991778,40.85153753284698,14
10 RICHMOND PLAZA,-73.92296056986399,40.85153224294256,1
10 RUTGERS STREET,-73.99017399124517,40.71379661785412,1
10 SAINT ANDREWS PLACE,-73.94313340555313,40.67892443655406,7
10 SCHOLES STREET,-73.94995796159273,40.70815390742665,1
10 SHERIDAN SQUARE,-74.00191597502527,40.73302130519741,1
10 ST ANDREWS PLACE,-73.94313340555313,40.67892443655407,2
10 ST PAULS PLACE,-73.96402177786435,40.65369463114682,2
10 SULLIVAN STREET,-74.00417418738019,40.72431487979485,1
10 WATERSIDE PLAZA,-73.97424639983292,40.737152040217296,1
10 WEST   83 STREET,-73.97122052075669,40.78352376754484,1
10 WEST  132 STREET,-73.93968252643894,40.81112354725849,1
10-06 CHURCH ROAD,-73.81811992569527,40.60458381821419,1
10-06 NEILSON STREET,-73.74767911429015,40.60342145543533,7
10-10 117 STREET,-73.85059207900271,40.78839848426254,1
10-23 GIPSON STREET,-73.75941693926626,40.60304588398707,1
10-37 BAY   31 STREET,-73.76710714180334,40.60156031566908,2
10-39 BAY   31 STREET,-73.76712508039869,40.60157956566609,1
10-40 NEILSON STREET,-73.74783594039397,40.60385273445068,1
10-43 44 DRIVE,-73.95072867579792,40.74876291004543,1
10-49 NEILSON STREET,-73.74789679878056,40.60394893623104,3
10-55 115 STREET,-73.85245745321663,40.787508848163945,1
10-59 MCBRIDE STREET,-73.75796037239338,40.60350669806523,1
10-65 HARTMAN LANE,-73.7659664865722,40.603355846781575,1
10-95 GIPSON STREET,-73.75903910105231,40.60496096748841,2
100 22 ROAD,-73.82172561029785,40.59754904857903,1
100 56 STREET,-74.02229895049665,40.6468580977091,1
100 ARDEN STREET,-73.92862197440645,40.86423012798677,1
100 AUDUBON AVENUE,-73.93739946817965,40.841821976346026,3
100 AVENUE,-73.7527787791885,40.71166925527018,4
100 BEEKMAN STREET,-74.00356361718332,40.70828000963203,1
100 BROOK AVENUE,-73.92175486673435,40.804083534127045,1
100 CARNEGIE AVENUE,-74.16586037797137,40.604144181695226,2
100 CENTRAL AVENUE,-73.95879347942166,40.68822851734601,5
100 CENTRE MALL,-74.00329144515398,40.67477187478728,2
100 CLARA STREET,-73.98383165543869,40.64307406518966,1
100 CONVENT AVENUE,-73.95262924681475,40.81674254856548,1
100 COOPER STREET,-73.90889823874437,40.68618979779385,5
100 CRESCENT AVENUE,-74.08527380274346,40.64300790335502,1
100 DAWSON COURT,-74.16462357226372,40.60496940021376,1
100 DUPONT STREET,-73.95629160335818,40.735755035429456,5
100 EAST    2 STREET,-73.97949846647512,40.649361674775406,1
100 EAST   21 STREET,-73.96029280699096,40.65181871792221,6
100 EAST   92 STREET,-73.92794062432964,40.66223316864542,8
100 EAST  118 STREET,-73.94170410256591,40.80035977558487,1
100 EAST  182 STREET,-73.90263136884647,40.85667417432924,3
100 EDGEGROVE AVENUE,-74.17867295289709,40.5459871690168,1
100 ELTON STREET,-73.88505832005818,40.68141450553251,1
100 ERSKINE PLACE,-73.82227735247065,40.86105499075877,2
100 FINE BOULEVARD,-74.11356026682404,40.607001962464985,2
100 FT WASHINGTON AVENUE,-73.94364374045779,40.83869348292832,2
100 GREAVES LANE,-74.14431726677913,40.554044852048,1
100 HAMPTON PLACE,-74.21451481549747,40.54956818034312,5
100 HIMROD STREET,-73.92367018437484,40.69619425353679,2
100 LEFFERTS AVENUE,-73.95820708215977,40.66188309106764,1
100 LEXINGTON AVENUE,-73.97054489247364,40.714533618926495,2
100 MAIDEN LANE,-74.00699002392852,40.70686629928461,2
100 MALCOLM X BOULEVARD,-73.93054616574489,40.690357738812,1
100 MANHATTAN AVENUE,-73.96228625238324,40.79753304327967,1
100 MOORE STREET,-73.94155045992231,40.70384889896867,5
100 NORFOLK STREET,-73.98714659158787,40.71877531521704,1
100 OVERLOOK TERRACE,-73.93541241368881,40.85596709239755,1
100 PITT STREET,-73.98193723314219,40.71941963426033,6
100 PROSPECT AVENUE,-73.7481625492282,40.772177136099685,2
100 ROAD,-73.73090493370833,40.714997647678615,1
100 SOUNDVIEW AVENUE,-73.85247771227199,40.80770186642509,1
100 SOUTH    4 STREET,-73.96394327255916,40.712262558218825,3
100 STREET,-73.85430499135052,40.71924142422871,2
100 STUYVESANT PLACE,-74.07742635674747,40.64361181801623,3
100 SUTTON STREET,-73.9408126178008,40.72650652808464,1
100 SUYDAM STREET,-73.92881791532552,40.69805850533322,2
100 TOMPKINS AVENUE,-74.07842466616938,40.62229236421942,1
100 VAN CORTLANDT PARK SOUTH,-73.89193558042581,40.885075000457775,4
100 WARREN STREET,-74.08166792725763,40.6203550271742,1
100 WEST   72 STREET,-73.9789210434439,40.777454078689104,2
100 WEST   74 STREET,-73.97805404045594,40.77881256132683,9
100 WEST   86 STREET,-73.97233505668524,40.78654599207788,1
100 WEST  105 STREET,-73.96354253510027,40.79863133867672,6
100 WEST  128 STREET,-73.94454234283374,40.80987713845504,1
100 WOODRUFF AVENUE,-73.96274599082447,40.65367501152021,1
100-03 205 PLACE,-73.75396083895616,40.71158258354675,1
100-05 101 AVENUE,-73.84207553104928,40.68539012773629,1
100-05 205 PLACE,-73.75396084908753,40.71157983879538,6
100-05 39 AVENUE,-73.86547581649343,40.74997669012381,1
100-05 88 AVENUE,-73.84580324923328,40.69342090321854,4
100-07 88 AVENUE,-73.84580324288551,40.69342364798294,2
100-09 69 AVENUE,-73.8505404558542,40.71970007184515,2
100-10 37 AVENUE,-73.86704063781309,40.75256406187483,1
100-10 41 AVENUE,-73.86454829924007,40.74818328052479,3
100-11 210 STREET,-73.7495479740172,40.71291251668728,3
100-11 40 ROAD,-73.86482877532777,40.74869138905871,2
100-11 41 AVENUE,-73.8645554838699,40.7481997574836,1
100-11 67 ROAD,-73.85338104665698,40.72559123880885,1
100-11 90 AVENUE,-73.84516794784004,40.69213824120625,1
100-12 37 AVENUE,-73.8670261951597,40.75256678995299,2
100-13 34 AVENUE,-73.86791180197635,40.7555376275226,1
100-15 41 AVENUE,-73.8645554838699,40.7481997574836,1
100-17 37 AVENUE,-73.86700449007847,40.75259146764308,1
100-18 222 STREET,-73.73099227198901,40.714808462393606,1
100-18 39 AVENUE,-73.86538195632106,40.74998755946968,1
100-19 197 STREET,-73.76200798491274,40.70963973370226,1
100-20 220 STREET,-73.73366181352135,40.71476800821606,1
100-21 222 STREET,-73.73098159429631,40.71477275538086,1
100-22 222 STREET,-73.73101778848287,40.71474264743986,9
100-23 37 AVENUE,-73.86696115661084,40.75260239660198,14
100-25 MARTENSE AVENUE,-73.85820153135228,40.73896424822843,1
100-26 195 STREET,-73.76381663786401,40.70920155034744,1
100-26 196 STREET,-73.76292134637508,40.7094165470226,1
100-30 195 STREET,-73.76381663786401,40.70920155034744,1
1000 5 AVENUE,-73.96254609596876,40.778632901279714,1
1000 ANDERSON AVENUE,-73.92705887789005,40.83241800975989,1
1000 BALCOM AVENUE,-73.8323519317604,40.82845191650633,6
1000 BOYNTON AVENUE,-73.87717708134139,40.824166225389,7
1000 BURKE AVENUE,-73.8583460445266,40.871274024131054,1
1000 DUNCAN STREET,-73.85829162803417,40.873055265629006,2
1000 FINDLAY AVENUE,-73.91501640979548,40.82820760647604,1
1000 FOX STREET,-73.89388638564245,40.822950433535865,2
1000 GRAND CONCOURSE,-73.92107420870009,40.82979012270764,2
1000 PRESIDENT STREET,-73.95890197946667,40.66895114558145,4
1000 SIMPSON STREET,-73.8929101075329,40.82340789902128,1
1000 ST NICHOLAS AVENUE,-73.94000820295581,40.83455536967189,1
1000 VAN NEST AVENUE,-73.85513066863176,40.84682844762728,2
10007 SEAVIEW AVENUE,-73.88722727627098,40.63541135303357,1
1001 CHURCH AVENUE,-73.97017686171023,40.64666425778317,1
1001 GRAND CONCOURSE,-73.92109588310285,40.82979562696861,2
1001 JEROME AVENUE,-73.92649269964271,40.83136642497532,1
1001 OCEAN AVENUE,-73.95873358997908,40.638146396265945,1
1001 ST NICHOLAS AVENUE,-73.93991762386334,40.8348160701586,2
1001 UNIVERSITY AVENUE,-73.93142390632003,40.832648499068725,4
10017 AVENUE M,-73.89086081483718,40.6387470330582,3
1002 BALCOM AVENUE,-73.8323735638035,40.82847116098644,5
1002 BAY   25 STREET,-73.76303331534537,40.60283655762064,1
1002 PUTNAM AVENUE,-73.92207226747833,40.68723699719117,2
1003 LAFAYETTE AVENUE,-73.9319903544813,40.692112509516726,1
1003 ST NICHOLAS AVENUE,-73.93989590163649,40.83485997423103,2
1003 WILLMOHR STREET,-73.92063567512194,40.65517152796527,1
1004 EASTERN PARKWAY,-73.93513564938293,40.66900881984896,1
1004 PUTNAM AVENUE,-73.92201817465407,40.68724245009099,2
1004 WILLOUGHBY AVENUE,-73.92894688375631,40.698865546748976,2
1004 WOODYCREST AVENUE,-73.92787516813429,40.83277808057847,4
1005 ARMSTRONG AVENUE,-74.16210996977742,40.55904137768904,1
1005 EAST   35 STREET,-73.94253359024474,40.63026464383855,1
1005 ESPLANADE,-73.85992822966527,40.85482696044164,1
1005 JEROME AVENUE,-73.92627561773638,40.83160782122029,6
1005 ST NICHOLAS AVENUE,-73.93984883340458,40.83495875932015,1
1006 BEDFORD AVENUE,-73.95534763873366,40.69054021029935,1
1006 BERGEN STREET,-73.95364467324943,40.67636278738925,1
1006 GERARD AVENUE,-73.92305697116862,40.8306917289719,1
1006 HERKIMER STREET,-73.92030563033683,40.6780298171249,1
1007 OGDEN AVENUE,-73.92919362095266,40.83327569063223,2
1007 SUMMIT AVENUE,-73.93002086384983,40.83355066682752,1
1008 FINDLAY AVENUE,-73.91495846912039,40.82830637352486,1
1008 HALSEY STREET,-73.91440731309805,40.68653712391903,1
1008 ST MARKS AVENUE,-73.93846853372929,40.67457980246647,2
1008 SUMMIT AVENUE,-73.92999556513206,40.83355339618701,4
1008 UNIVERSITY AVENUE,-73.93082660828182,40.83365545199675,1
1009 NOSTRAND AVENUE,-73.9509536435277,40.66379059344118,1
1009 SUMMIT AVENUE,-73.92999914705663,40.83358359020117,1
100W WEST  162 STREET,-73.929556920952,40.83145067876151,1
101 10 STREET,-73.9943546469692,40.67223835569959,1
101 34 AVENUE,-73.7524900868793,40.77544178567369,1
101 ALBEMARLE ROAD,-73.97970516315566,40.64513748914075,1
101 ASTOR PLACE,-73.9903195727121,40.72972720838264,1
101 AUDUBON AVENUE,-73.93730541001818,40.84191799006391,4
101 AVENUE,-73.80750198845432,40.694903281439316,6
101 BEDFORD AVENUE,-73.95506795739985,40.72029884073235,2
101 CHARLES STREET,-74.00551351601966,40.73455001710174,2
101 CHESTNUT STREET,-73.87602990838539,40.68548935747568,1
101 DANIEL LOW TERRACE,-74.08098148276159,40.64242911140708,6
101 DOSCHER STREET,-73.87249546040934,40.6746408851213,1
101 EAST    7 STREET,-73.98508134436305,40.726707417156256,1
101 EAST   10 STREET,-73.98879321204095,40.73062460494521,2
101 EAST  116 STREET,-73.94277789756075,40.79912244145848,3
101 EAST TREMONT AVENUE,-73.90753780088214,40.850793565748326,1
101 ELLIS STREET,-74.24362196736041,40.51605071274458,1
101 FIELD PLACE,-73.90101156670706,40.85930770986554,1
101 HAMPTON GREEN,-74.1947960406916,40.55331980335647,7
101 HIMROD STREET,-73.9237134750152,40.6961805583961,1
101 HUTCHINSON RIVER PARKWAY SR,-73.83761686202138,40.812092669024686,7
101 LEXINGTON AVENUE,-73.98279355334215,40.74216829589594,2
101 MAC DOUGAL STREET,-74.00087675651744,40.72955469235684,1
101 MCKINLEY AVENUE,-73.87191305979681,40.67942712953081,2
101 NORMAN AVENUE,-73.95118232939062,40.72562757965266,3
101 SCHOLES STREET,-73.94608745073978,40.70854191621214,5
101 SEAVIEW AVENUE,-74.09791517455636,40.58948806560582,1
101 SHERMAN AVENUE,-73.92523119238145,40.86385195691805,3
101 SOUTH    5 STREET,-73.96436931270141,40.71151337076125,2
101 STIEG AVENUE,-74.15363171715049,40.556187447502325,2
101 STREET,-73.83952904220749,40.68126395017113,1
101 TITUS AVENUE,-74.10732184674394,40.56621469618186,3
101 VAN BUREN STREET,-73.9414613944205,40.690273231345785,2
101 VERNON AVENUE,-73.94786199356129,40.69478322057,7
101 WELDON STREET,-73.87160517417591,40.68017062073479,2
101 WEST   15 STREET,-73.99668737891503,40.738200622893984,1
101 WEST   75 STREET,-73.97771078589851,40.77951789257778,1
101 WEST   77 STREET,-73.97684374470998,40.78083793939172,1
101 WEST   85 STREET,-73.97309362008875,40.7859917356105,2
101 WEST   86 STREET,-73.97232421756145,40.78655971313981,1
101 WILSON AVENUE,-73.92711916422766,40.70150486996867,2
101-01 39 AVENUE,-73.86463799099042,40.75022273616009,1
101-02 133 STREET,-73.81448150087226,40.69311117633267,1
101-05 MARTENSE AVENUE,-73.85783281438727,40.7392657167594,1
101-06 MARTENSE AVENUE,-73.85750029151099,40.73951507853902,1
101-07 81 STREET,-73.85783137225468,40.68075004311074,1
101-08 MARTENSE AVENUE,-73.85745330355232,40.73955070220937,13
101-10 98 STREET,-73.84318421026529,40.68465055445164,1
101-10 MARTENSE AVENUE,-73.85740630966924,40.73958907060847,2
101-12 120 STREET,-73.82481769320101,40.68992971161233,3
101-12 32 AVENUE,-73.86758667871607,40.75930579308329,1
101-14 112 STREET,-73.83170993058765,40.68797199322744,1
101-14 116 STREET,-73.82836491452828,40.688916745145605,1
101-14 130 STREET,-73.81676394004519,40.69187693951238,4
101-14 37 AVENUE,-73.86604754671704,40.75282915202885,1
101-14 39 AVENUE,-73.86431661304252,40.75030195581233,1
101-14 98 STREET,-73.84316268631461,40.68460386392447,1
101-16 113 STREET,-73.83084753291041,40.68821226905718,1
101-16 114 STREET,-73.83001759539819,40.688447096827055,1
101-16 133 STREET,-73.81421257517195,40.69256178750668,2
101-16 77 STREET,-73.86064522392559,40.67997122408143,1
101-16 86 AVENUE,-73.84658342763213,40.696007521479046,1
101-16 98 STREET,-73.84314831551016,40.68458188612817,1
101-16 ASCAN AVENUE,-73.84464597085348,40.711872433512994,1
101-17 111 STREET,-73.83257233583339,40.68772622139646,1
101-17 126 STREET,-73.81987382162323,40.691324659734185,1
101-19 MARTENSE AVENUE,-73.8576267679783,40.73943289230196,1
101-19 NORTHERN BOULEVARD,-73.86721492383688,40.75747461860062,1
101-20 116 STREET,-73.82836132987863,40.6889085054728,2
101-20 118 STREET,-73.82670501290302,40.689380869312366,1
101-20 120 STREET,-73.8248105102472,40.689918721576426,1
101-20 126 STREET,-73.81989188115594,40.691313708898896,1
101-20 46 AVENUE,-73.86278533987567,40.745521528852045,1
101-21 102 STREET,-73.84060071281523,40.685432010659454,2
101-21 131 STREET,-73.81604126240971,40.69241101773897,5
101-22 112 STREET,-73.83170635250299,40.68796100889243,2
101-22 120 STREET,-73.8248105174588,40.68991597681208,8
101-23 132 STREET,-73.81498522012706,40.69221993535271,1
101-24 123 STREET,-73.82272111823683,40.69050839333503,3
101-25 80 STREET,-73.85868649915335,40.6804464262978,1
101-25 91 STREET,-73.84928138103797,40.68303104987186,1
101-26 131 STREET,-73.81605572440539,40.69239731698004,2
101-26 132 STREET,-73.81498892516039,40.69218425923183,1
101-28 102 STREET,-73.84061517481123,40.68541556203602,1
101-28 120 STREET,-73.82480692598293,40.68991048179394,20
101-29 93 STREET,-73.84749202181831,40.683473345965325,1
101-30 91 STREET,-73.84914510983747,40.68270424291881,1
101-32 108 STREET,-73.83479680914358,40.68639273059351,1
101-32 116 STREET,-73.82835415351639,40.68889477089175,2
101-32 121 STREET,-73.82375684034804,40.69019982457647,1
101-33 132 STREET,-73.81492067742141,40.692088082362936,4
101-34 75 ROAD,-73.84278102729886,40.71037400372939,1
101-36 133 STREET,-73.81407990168988,40.69229258528226,1
101-37 131 STREET,-73.8160305048955,40.6923890423426,3
101-37 133 STREET,-73.81405109174783,40.692278814859584,4
101-38 NICOLLS AVENUE,-73.86277857997581,40.74529919581793,2
101-40 132 STREET,-73.81489569438905,40.69199471982411,1
101-40 NICOLLS AVENUE,-73.86273892166348,40.74527993529177,1
101-41 123 STREET,-73.82268870864974,40.69049187475272,5
101-42 110 STREET,-73.83339515356538,40.687447448488896,1
101-43 124 STREET,-73.82164941516301,40.69078395971529,2
101-43 132 STREET,-73.81485612734943,40.691958974097794,1
101-43 133 STREET,-73.81401164749488,40.69219915263847,1
101-44 117 STREET,-73.82752062837122,40.68911585143077,1
101-44 133 STREET,-73.81402610986162,40.69218545213423,1
101-45 114 STREET,-73.82997800836023,40.68841684581484,1
101-45 120 STREET,-73.82477812206794,40.689893969288285,1
101-46 110 STREET,-73.83339516042335,40.6874447037232,2
101-46 NICOLLS AVENUE,-73.86261994120406,40.74522489837712,1
101-47 123 STREET,-73.82268512461684,40.69048363490473,2
101-50 117 STREET,-73.8275170438152,40.68910761173191,2
101-50 NICOLLS AVENUE,-73.86254062478248,40.74518637720138,1
101-52 132 STREET,-73.81481680429528,40.69183539594082,1
101-53 95 STREET,-73.84467593823877,40.68353270901545,1
101-56 104 STREET,-73.83888697081578,40.685866043370254,1
101-56 132 STREET,-73.8147917147638,40.6917804600594,1
101-59 98 STREET,-73.84267454404875,40.68366173931697,1
101-60 106 STREET,-73.83676175300474,40.6864641541486,1
1010 BRYANT AVENUE,-73.8885703894082,40.82360689628868,1
1010 EAST   17 STREET,-73.95963448802857,40.62603396392172,1
1010 EAST  173 STREET,-73.88426322739227,40.83415608834496,16
1010 EAST  178 STREET,-73.88046300470245,40.84141197658789,1
1010 EAST  224 STREET,-73.85179441286034,40.88420703027474,5
1010 EASTERN PARKWAY,-73.93499506849619,40.66900325094482,1
1010 PARK AVENUE,-73.9578517468543,40.77930374026735,8
1011 BELMONT AVENUE,-73.87180069358183,40.67411311568738,2
1011 OGDEN AVENUE,-73.92914654964345,40.83336349253521,1
1011 RICHMOND ROAD,-74.09280191620098,40.60203330042962,1
1011 SHERIDAN AVENUE,-73.91855274867936,40.82663537158397,61
1011 WASHINGTON AVENUE,-73.90974720069485,40.82618349190197,4
1011 WOODYCREST AVENUE,-73.9277738072192,40.832942699931614,1
1012 EAST   84 STREET,-73.90824687773451,40.63547670841324,1
1012 EAST  224 STREET,-73.85175466262811,40.884193255769965,2
1012 KELLY STREET,-73.89584036225722,40.82341058308999,2
1012 SUMMIT AVENUE,-73.92995212282821,40.83362747705329,3
1013 CARROLL STREET,-73.95684452087966,40.66761094080076,2
1013 EAST   13 STREET,-73.96312976388121,40.62441571154315,1
1013 EAST  180 STREET,-73.87864601041214,40.84289496760515,3
1013 PUTNAM AVENUE,-73.92035206084479,40.68745265640268,1
1013 WOODYCREST AVENUE,-73.92774847883446,40.83297287591051,2
1014 AVENUE J,-73.96591786464245,40.62467458222418,1
1014 EAST  211 STREET,-73.85699958063725,40.87529059903211,1
1014 EAST  213 STREET,-73.85620456432072,40.876733320800135,2
1014 GATES AVENUE,-73.92331023094206,40.689340323797566,1
1014 GERARD AVENUE,-73.92289765759232,40.8309660939894,4
1014 HALSEY STREET,-73.91430260958248,40.68664409211151,7
1014 KELLY STREET,-73.89584021188676,40.823506648099546,1
1014 WOODYCREST AVENUE,-73.9277412783455,40.832948168981645,1
1015 BOYNTON AVENUE,-73.87725611053246,40.824416078949334,7
1015 EAST  179 STREET,-73.87952247990812,40.841883088278095,1
1015 GERARD AVENUE,-73.92303158117504,40.83077405345615,7
1015 LEGGETT AVENUE,-73.89964452694444,40.81414229098957,1
1015 NELSON AVENUE,-73.92844930426303,40.83318191102114,3
1015 REVERE AVENUE,-73.82778868376319,40.831049930684536,5
1015 WOODYCREST AVENUE,-73.92772314744508,40.83300579659481,29
1015A PRESIDENT STREET,-73.95771254541202,40.66872838756513,1
1016 BEVERLEY ROAD,-73.96972412228551,40.64377662615996,2
1016 CALHOUN AVENUE,-73.82856293785242,40.83068054726586,2
1016 EAST  102 STREET,-73.89456738519158,40.64398205630514,1
1016 EAST  174 STREET,-73.88362767691928,40.8359559809235,4
1016 HYLAN BOULEVARD,-74.07652747279289,40.59819982696847,2
1016 WASHINGTON AVENUE,-73.90950456906354,40.826581285663536,1
1017 HUNTINGTON AVENUE,-73.83167833125702,40.829046539350855,1
1017 LONGFELLOW AVENUE,-73.88767022902243,40.82389421838596,2
1018 45 STREET,-73.99586345862167,40.64092321568084,3
1018 BEDFORD AVENUE,-73.95525420295607,40.690065328786815,3
1018 CALHOUN AVENUE,-73.82858454831064,40.83070802657325,1
1018 EAST  163 STREET,-73.8924118220942,40.82097012458989,1
1018 LOGAN AVENUE,-73.82483581585217,40.83264565417042,1
1019 AVENUE Z,-73.95969385157196,40.58738725999911,1
1019 EAST   83 STREET,-73.90880612468814,40.63490074764165,1
1019 EAST  167 STREET,-73.88896976329724,40.82678292014485,1
1019 PUTNAM AVENUE,-73.92024026550061,40.68746630282981,1
102 2 AVENUE,-73.98859533442747,40.72730343099607,1
102 ALBEMARLE ROAD,-73.9796475107202,40.64512649981428,1
102 BAY RIDGE PARKWAY,-74.03272072965369,40.63262388821072,1
102 BRADHURST AVENUE,-73.94181282781828,40.8247302171669,2
102 CLINTON STREET,-73.9854872722937,40.71824263462594,1
102 DAHILL ROAD,-73.98090519879553,40.64487694012726,2
102 HIGHLAND PLACE,-73.88152263488358,40.68273390087002,3
102 JAVA STREET,-73.95680682685799,40.7313855808701,1
102 LINCOLN ROAD,-73.95911590510674,40.66104077033917,1
102 MAPLE AVENUE,-74.13496038323284,40.63748996092063,9
102 MC KINLEY AVENUE,-73.87190948609302,40.67941065689448,1
102 PARK STREET,-74.1291550323958,40.570062401784455,1
102 WEST  119 STREET,-73.94878770353772,40.804164586375386,9
102 WINTER AVENUE,-74.08547371335453,40.638728632010185,3
102-00 SHORE FRONT PARKWAY,-73.82220639817251,40.58197302090193,2
102-02 213 STREET,-73.74520907275638,40.71277673570332,2
102-02 62 AVENUE,-73.85580880905253,40.73574167814878,1
102-03 WILLIAMS COURT,-73.82867522863862,40.65515365573256,3
102-04 135 STREET,-73.81242343810423,40.69275101954907,1
102-04 81 STREET,-73.85753350738976,40.68010190739473,1
102-05 WILLIAMS COURT,-73.8286644095271,40.65515638440318,1
102-06 81 STREET,-73.85753350738976,40.68010190739473,2
